"","timestamp","value","value_classification"
"392",2020-07-12 03:00:00,41,"Fear"
"393",2020-07-11 03:00:00,44,"Fear"
"394",2020-07-10 03:00:00,41,"Fear"
"395",2020-07-09 03:00:00,44,"Fear"
"396",2020-07-08 03:00:00,44,"Fear"
"397",2020-07-07 03:00:00,43,"Fear"
"398",2020-07-06 03:00:00,40,"Fear"
"399",2020-07-05 03:00:00,38,"Fear"
"400",2020-07-04 03:00:00,40,"Fear"
"401",2020-07-03 03:00:00,41,"Fear"
"402",2020-07-02 03:00:00,42,"Fear"
"403",2020-07-01 03:00:00,42,"Fear"
"404",2020-06-30 03:00:00,44,"Fear"
"405",2020-06-29 03:00:00,41,"Fear"
"406",2020-06-28 03:00:00,40,"Fear"
"407",2020-06-27 03:00:00,43,"Fear"
"408",2020-06-26 03:00:00,40,"Fear"
"409",2020-06-25 03:00:00,43,"Fear"
"410",2020-06-24 03:00:00,50,"Neutral"
"411",2020-06-23 03:00:00,41,"Fear"
"412",2020-06-22 03:00:00,38,"Fear"
"413",2020-06-21 03:00:00,37,"Fear"
"414",2020-06-20 03:00:00,38,"Fear"
"415",2020-06-19 03:00:00,39,"Fear"
"416",2020-06-18 03:00:00,40,"Fear"
"417",2020-06-17 03:00:00,38,"Fear"
"418",2020-06-16 03:00:00,39,"Fear"
"419",2020-06-15 03:00:00,37,"Fear"
"420",2020-06-14 03:00:00,40,"Fear"
"421",2020-06-13 03:00:00,38,"Fear"
"422",2020-06-12 03:00:00,38,"Fear"
"423",2020-06-11 03:00:00,52,"Neutral"
"424",2020-06-10 03:00:00,54,"Neutral"
"425",2020-06-09 03:00:00,52,"Neutral"
"426",2020-06-08 03:00:00,53,"Neutral"
"427",2020-06-07 03:00:00,54,"Neutral"
"428",2020-06-06 03:00:00,54,"Neutral"
"429",2020-06-05 03:00:00,53,"Neutral"
"430",2020-06-04 03:00:00,54,"Neutral"
"431",2020-06-03 03:00:00,48,"Neutral"
"432",2020-06-02 03:00:00,56,"Greed"
"433",2020-06-01 03:00:00,50,"Neutral"
"434",2020-05-31 03:00:00,51,"Neutral"
"435",2020-05-30 03:00:00,48,"Neutral"
"436",2020-05-29 03:00:00,48,"Neutral"
"437",2020-05-28 03:00:00,41,"Fear"
"438",2020-05-27 03:00:00,39,"Fear"
"439",2020-05-26 03:00:00,39,"Fear"
"440",2020-05-25 03:00:00,41,"Fear"
"441",2020-05-24 03:00:00,43,"Fear"
"442",2020-05-23 03:00:00,40,"Fear"
"443",2020-05-22 03:00:00,42,"Fear"
"444",2020-05-21 03:00:00,49,"Neutral"
"445",2020-05-20 03:00:00,52,"Neutral"
"446",2020-05-19 03:00:00,50,"Neutral"
"447",2020-05-18 03:00:00,50,"Neutral"
"448",2020-05-17 03:00:00,40,"Fear"
"449",2020-05-16 03:00:00,41,"Fear"
"450",2020-05-15 03:00:00,44,"Fear"
"451",2020-05-14 03:00:00,40,"Fear"
"452",2020-05-13 03:00:00,41,"Fear"
"453",2020-05-12 03:00:00,39,"Fear"
"454",2020-05-11 03:00:00,40,"Fear"
"455",2020-05-10 03:00:00,48,"Neutral"
"456",2020-05-09 03:00:00,56,"Greed"
"457",2020-05-08 03:00:00,55,"Greed"
"458",2020-05-07 03:00:00,49,"Neutral"
"459",2020-05-06 03:00:00,42,"Fear"
"460",2020-05-05 03:00:00,40,"Fear"
"461",2020-05-04 03:00:00,44,"Fear"
"462",2020-05-03 03:00:00,45,"Fear"
"463",2020-05-02 03:00:00,40,"Fear"
"464",2020-05-01 03:00:00,40,"Fear"
"465",2020-04-30 03:00:00,44,"Fear"
"466",2020-04-29 03:00:00,26,"Fear"
"467",2020-04-28 03:00:00,26,"Fear"
"468",2020-04-27 03:00:00,28,"Fear"
"469",2020-04-26 03:00:00,21,"Extreme Fear"
"470",2020-04-25 03:00:00,24,"Extreme Fear"
"471",2020-04-24 03:00:00,20,"Extreme Fear"
"472",2020-04-23 03:00:00,19,"Extreme Fear"
"473",2020-04-22 03:00:00,19,"Extreme Fear"
"474",2020-04-21 03:00:00,17,"Extreme Fear"
"475",2020-04-20 03:00:00,15,"Extreme Fear"
"476",2020-04-19 03:00:00,16,"Extreme Fear"
"477",2020-04-18 03:00:00,18,"Extreme Fear"
"478",2020-04-17 03:00:00,15,"Extreme Fear"
"479",2020-04-16 03:00:00,13,"Extreme Fear"
"480",2020-04-15 03:00:00,18,"Extreme Fear"
"481",2020-04-14 03:00:00,15,"Extreme Fear"
"482",2020-04-13 03:00:00,11,"Extreme Fear"
"483",2020-04-12 03:00:00,10,"Extreme Fear"
"484",2020-04-11 03:00:00,15,"Extreme Fear"
"485",2020-04-10 03:00:00,15,"Extreme Fear"
"486",2020-04-09 03:00:00,22,"Extreme Fear"
"487",2020-04-08 03:00:00,21,"Extreme Fear"
"488",2020-04-07 03:00:00,20,"Extreme Fear"
"489",2020-04-06 03:00:00,12,"Extreme Fear"
"490",2020-04-05 03:00:00,12,"Extreme Fear"
"491",2020-04-04 03:00:00,12,"Extreme Fear"
"492",2020-04-03 03:00:00,14,"Extreme Fear"
"493",2020-04-02 03:00:00,14,"Extreme Fear"
"494",2020-04-01 03:00:00,12,"Extreme Fear"
"495",2020-03-31 03:00:00,12,"Extreme Fear"
"496",2020-03-30 03:00:00,10,"Extreme Fear"
"497",2020-03-29 03:00:00,12,"Extreme Fear"
"498",2020-03-28 03:00:00,8,"Extreme Fear"
"499",2020-03-27 03:00:00,12,"Extreme Fear"
"500",2020-03-26 03:00:00,14,"Extreme Fear"
"501",2020-03-25 03:00:00,13,"Extreme Fear"
"502",2020-03-24 03:00:00,12,"Extreme Fear"
"503",2020-03-23 03:00:00,10,"Extreme Fear"
"504",2020-03-22 03:00:00,11,"Extreme Fear"
"505",2020-03-21 03:00:00,9,"Extreme Fear"
"506",2020-03-20 03:00:00,9,"Extreme Fear"
"507",2020-03-19 03:00:00,12,"Extreme Fear"
"508",2020-03-18 03:00:00,11,"Extreme Fear"
"509",2020-03-17 03:00:00,8,"Extreme Fear"
"510",2020-03-16 03:00:00,9,"Extreme Fear"
"511",2020-03-15 03:00:00,12,"Extreme Fear"
"512",2020-03-14 03:00:00,8,"Extreme Fear"
"513",2020-03-13 03:00:00,10,"Extreme Fear"
"514",2020-03-12 03:00:00,14,"Extreme Fear"
"515",2020-03-11 03:00:00,17,"Extreme Fear"
"516",2020-03-10 03:00:00,16,"Extreme Fear"
"517",2020-03-09 03:00:00,17,"Extreme Fear"
"518",2020-03-08 03:00:00,33,"Fear"
"519",2020-03-07 03:00:00,38,"Fear"
"520",2020-03-06 03:00:00,39,"Fear"
"521",2020-03-05 03:00:00,41,"Fear"
"522",2020-03-04 03:00:00,40,"Fear"
"523",2020-03-03 03:00:00,38,"Fear"
"524",2020-03-02 03:00:00,38,"Fear"
"525",2020-03-01 03:00:00,39,"Fear"
"526",2020-02-29 03:00:00,38,"Fear"
"527",2020-02-28 03:00:00,40,"Fear"
"528",2020-02-27 03:00:00,39,"Fear"
"529",2020-02-26 03:00:00,41,"Fear"
"530",2020-02-25 03:00:00,44,"Fear"
"531",2020-02-24 03:00:00,46,"Fear"
"532",2020-02-23 03:00:00,46,"Fear"
"533",2020-02-22 03:00:00,43,"Fear"
"534",2020-02-21 03:00:00,44,"Fear"
"535",2020-02-20 03:00:00,44,"Fear"
"536",2020-02-19 03:00:00,50,"Neutral"
"537",2020-02-18 03:00:00,53,"Neutral"
"538",2020-02-17 03:00:00,49,"Neutral"
"539",2020-02-16 03:00:00,59,"Greed"
"540",2020-02-15 03:00:00,64,"Greed"
"541",2020-02-14 03:00:00,63,"Greed"
"542",2020-02-13 03:00:00,65,"Greed"
"543",2020-02-12 03:00:00,61,"Greed"
"544",2020-02-11 03:00:00,52,"Neutral"
"545",2020-02-10 03:00:00,57,"Greed"
"546",2020-02-09 03:00:00,56,"Greed"
"547",2020-02-08 03:00:00,56,"Greed"
"548",2020-02-07 03:00:00,56,"Greed"
"549",2020-02-06 03:00:00,61,"Greed"
"550",2020-02-05 03:00:00,53,"Neutral"
"551",2020-02-04 03:00:00,56,"Greed"
"552",2020-02-03 03:00:00,59,"Greed"
"553",2020-02-02 03:00:00,57,"Greed"
"554",2020-02-01 03:00:00,57,"Greed"
"555",2020-01-31 03:00:00,55,"Greed"
"556",2020-01-30 03:00:00,57,"Greed"
"557",2020-01-29 03:00:00,57,"Greed"
"558",2020-01-28 03:00:00,54,"Neutral"
"559",2020-01-27 03:00:00,50,"Neutral"
"560",2020-01-26 03:00:00,42,"Fear"
"561",2020-01-25 03:00:00,41,"Fear"
"562",2020-01-24 03:00:00,40,"Fear"
"563",2020-01-23 03:00:00,49,"Neutral"
"564",2020-01-22 03:00:00,52,"Neutral"
"565",2020-01-21 03:00:00,49,"Neutral"
"566",2020-01-20 03:00:00,48,"Neutral"
"567",2020-01-19 03:00:00,53,"Neutral"
"568",2020-01-18 03:00:00,51,"Neutral"
"569",2020-01-17 03:00:00,54,"Neutral"
"570",2020-01-16 03:00:00,55,"Greed"
"571",2020-01-15 03:00:00,54,"Neutral"
"572",2020-01-14 03:00:00,56,"Greed"
"573",2020-01-13 03:00:00,49,"Neutral"
"574",2020-01-12 03:00:00,45,"Fear"
"575",2020-01-11 03:00:00,50,"Neutral"
"576",2020-01-10 03:00:00,41,"Fear"
"577",2020-01-09 03:00:00,44,"Fear"
"578",2020-01-08 03:00:00,51,"Neutral"
"579",2020-01-07 03:00:00,40,"Fear"
"580",2020-01-06 03:00:00,41,"Fear"
"581",2020-01-05 03:00:00,39,"Fear"
"582",2020-01-04 03:00:00,38,"Fear"
"583",2020-01-03 03:00:00,38,"Fear"
"584",2020-01-02 03:00:00,39,"Fear"
"585",2020-01-01 03:00:00,37,"Fear"
